:START_ID,:END_ID,:TYPE
country::IND,observation::IND::SH.XPD.GHED.GE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.EHEX.PC.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.XPD.CHEX.GD.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.TBS.CURE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.WAST.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.TRAF.P5::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.MIDA.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.DSTC.IR.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::DT.DOD.DLXF.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.NZLL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.LTUL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.GBRL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.ESPL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.CHEL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.SVR.WAST.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.WAST.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.SUIC.MA.P5::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.STNT.ME.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.SMSS.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.POIS.P5.FE::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.OWGH.ME.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.ODFC.RU.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.MALN.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.HYGN.RU.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.BASS.RU.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.SGR.CRSK.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.PRG.ANEM::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.MED.PHYS.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.IMM.MEAS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.H2O.SMDW.UR.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.H2O.BASW.RU.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DYN.NCOM.MA.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DYN.MORT::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DYN.1519::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DTH.NMRT::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DTH.IMRT::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DTH.1014::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.ANM.NPRG.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.ALC.PCAP.LI::2015,HAS_OBSERVATION
country::IND,observation::IND::SE.TER.ENRR.FE::2015,HAS_OBSERVATION
country::IND,observation::IND::SE.SEC.TCHR::2015,HAS_OBSERVATION
country::IND,observation::IND::DC.DAC.CANL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::CM.MKT.TRNR::2015,HAS_OBSERVATION
country::IND,observation::IND::CM.MKT.LCAP.GD.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.TRF.PWKR.CD.DT::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.KLT.DINV.WD.GD.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.TOTL.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.INSF.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BX.GSR.CCIS.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.TRF.KOGT.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.KLT.DINV.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BN.GSR.FCTY.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.TRF.PWKR.CD.DT::2015,HAS_OBSERVATION
